	dist_type_ambigious	dist_type_central	dist_type_portal
2x16	343.5460085636274	655.1557524741731	543.0575107665853
2x18	242.2549483498737	528.5597979415385	506.0769309107064
2x20	168.0525215520433	405.28613349089545	498.6381954884723
2x22	157.1344965308382	279.6809789742591	519.980624639034
2x24	97.16480844420988	161.90120444270946	571.031522772605
2x26	145.43785614481538	61.994919146652585	642.5928493221817
3x15	374.2406979471901	711.4012229396292	519.0923809882013
3x17	250.98788815399038	578.8731467256017	459.35402469119606
3x19	156.69588380043675	459.07929598273097	441.1786486220746
3x21	92.09310506221401	330.5800054449754	448.9168519893188
3x23	80.41747322566147	203.71492336105362	489.31602262750397
3x25	59.78603515872253	79.59503753375574	558.1771851303133
3x27	176.25101418147932	15.4019479287525	643.5411564150346
4x14	422.87066580693437	715.4395851502767	454.3043033034135
4x16	297.7575020045674	644.094193422049	438.79805149977585
4x18	178.43746803852596	522.7547512935679	394.6691399134216
4x20	70.28869041318089	394.811980567966	383.5467376995925
4x22	61.4950404504298	266.19549207302515	411.87357283516013
4x24	0.5385164807134672	140.59832858181494	473.4890600636935
4x26	108.0117123278768	19.56859729260122	557.5892125929266
4x28	234.4469662844885	95.53313561272883	654.0689413204086
5x13	480.17882085739683	665.3754579183094	388.9484541684154
5x15	353.9587546593529	655.6000305064056	406.38823801876936
5x17	227.68557266546333	566.7672538176495	359.38436248673924
5x19	101.016285815704	446.40171370638797	325.28124753818804
5x21	0.31622776601676605	329.35285029888536	336.4444976515442
5x23	68.56653702791176	217.28729829421687	390.30702017770574
5x25	62.900317964220385	104.81722186740107	471.57104448852675
5x27	178.58700960596218	68.46254450427627	569.2499626701789
5x29	304.4046813043453	173.01274519526012	632.5323786178855
6x14	420.62288335277236	600.221134249703	340.56542690061775
6x16	295.9495227230481	601.4420337821425	344.42607334520994
6x18	171.7386677484136	492.5732128323666	282.9296202238287
6x20	58.26988930828689	368.37071001913284	268.9010598714701
6x22	64.60069659067153	247.84117898363863	306.70873805615645
6x24	86.6876000359913	142.37675372054233	383.81758688210226
6x26	146.7157796557686	107.17051833410144	482.67807076767014
6x28	258.1426156216754	153.3890804457737	555.1032426495093
6x30	378.17637419595644	254.21913775323853	610.7053053642157
7x13	493.0779248759773	554.5506649531673	275.2530472129237
7x15	369.78000216344856	539.5	291.94391584686264
7x17	250.76032381539144	546.5461920094219	260.62912346857934
7x19	144.53435577744133	419.48990452691464	211.1250340438101
7x21	92.10000000000014	291.9561782185813	227.76042237403746
7x23	150.94518872756433	167.25205529379892	297.76710698127835
7x25	154.07433270989696	58.44056810127693	397.7120817878181
