	dist_type_central	dist_type_portal
6x42	1200.2890693495463	479.2770075853839
7x41	1143.6214233740113	391.42989155147563
7x43	1150.351133350161	514.6044403228564
8x34	1172.1463389867324	58.94607705352405
8x36	1128.1471269298167	86.12746368029202
8x38	1100.1744634375038	191.25179737717525
8x40	1086.135926116064	313.8073453569883
8x42	1087.3787196740607	435.2209553778404
8x44	1102.8019994541178	561.2887403110811
9x33	1145.5472491346657	66.4988721708871
9x35	1097.3931155242408	1.2041594578790407
9x37	1057.5995461421112	110.89815147242108
9x39	1033.9278311371638	239.57203509591847
9x41	1026.1252603849102	365.7929058907515
9x43	1037.2152042850123	494.03540358966205
9x45	1060.7808916076872	617.9906957228402
10x32	1125.1586599231239	127.81787824870189
10x34	1067.2557566019493	12.126417442921841
10x36	1017.6438129325994	43.95600072800104
10x38	988.2048623640748	168.20240783056605
10x40	972.1959730424726	296.11756111382556
10x42	973.306056695426	427.146438589859
10x44	986.426378398307	549.1790236343703
10x46	1021.3839092133771	678.4257439101204
11x31	1096.3973184936197	206.60464660795972
11x33	1043.7947547291085	95.67282790845071
11x35	988.4431445460077	40.7240715056833
11x37	948.1444246527001	121.8681664750892
11x39	918.8385113827129	245.17546777767146
11x41	910.1131907625555	369.7610309375504
11x43	922.1815981681698	494.6381505706976
11x45	949.4155044025771	620.8499013449226
11x47	988.5728804696191	746.3489398398044
12x30	1018.0795499370369	289.4666992937186
12x32	1026.8650544253612	184.69715753091586
12x34	963.7349013084457	101.80550083369772
12x36	910.5749227823046	122.20347785558319
12x38	875.6442314090807	208.72474697553272
12x40	853.7517496321748	324.31874753088226
12x42	858.9245426694943	445.46803476792843
12x44	881.2908316781696	567.4050845736231
12x46	913.5983636149969	689.8541657480953
12x48	967.7511715311949	751.5192146578822
13x31	988.3127490830017	269.63695963276234
13x33	942.5944674142745	180.27015837348117
13x35	887.3668294454103	148.05704981526551
13x37	836.2557025216627	205.1638369693844
13x39	804.755329277166	295.34444298141125
13x41	796.5060326199671	405.0415534238435
13x43	805.6333905691843	520.1074504369266
13x45	839.1729380765325	624.9553744068451
13x47	885.0872047431259	671.8971349842177
13x49	947.3246645158143	724.3863748028397
14x30	912.0899571862416	351.2012101345892
14x32	931.3861551472622	263.3210397974307
14x34	859.8473411018956	215.21535725872351
14x36	800.2001312171849	228.96779249492712
14x38	762.6789429373277	292.4266916681858
14x40	742.757739777917	383.4786304346046
14x42	743.438208595711	485.66075608391515
14x44	766.8980897094476	553.8287460939528
14x46	805.3882604061224	591.388408746739
14x48	862.9144859138707	642.5958372102949
15x29	840.0001726190297	334.4127539433864
15x31	886.8065967278322	312.57181574799733
15x33	840.5884843370147	290.29708920345723
15x35	777.4194877927872	271.17348690460136
15x37	724.2541335746726	307.2540479798438
15x39	696.3026999804035	373.9142281326027
15x41	682.512314907211	467.19402821525904
15x43	694.6703174888071	484.60875972272726
15x45	731.3146313318227	516.8693161718927
15x47	783.2114720814553	565.7310403363069
15x49	847.534648259291	621.2723879265842
16x30	804.435901734874	258.863516162475
16x32	840.2589719842329	259.2418561883863
16x34	761.3451516887724	317.0804945120404
16x36	696.8788129940525	336.3983947643035
16x38	650.1066989348747	386.03720027997326
16x40	625.6563433707037	435.89845147694655
16x42	625.8057206513854	422.42727184688243
16x44	653.4809331571961	439.34875668425406
16x46	702.6179687426164	489.2361495229069
16x48	765.6012669790978	540.6323149794136
17x29	727.0629752641788	229.69059623763425
17x31	783.012573334554	195.61822512230296
17x33	759.1888829533793	234.06400833959933
17x35	679.068567966446	318.85250508659954
17x37	612.0111845383219	364.5439479678686
17x39	579.77813860131	395.45301870133693
17x41	565.1362402111547	370.5981246579641
17x43	581.0298529335648	369.26967110771494
17x45	620.9802734386978	407.26318272095256
17x47	682.8395785248539	460.7642455746757
17x49	759.643844179626	529.6011423703691
18x28	657.1611750552522	236.8995778805863
18x30	701.0082025197709	151.06455573694313
18x32	761.6952802794563	156.75618010145564
18x34	670.375663341085	244.7409446741597
18x36	599.651974064957	298.0098823864737
18x38	545.7043613532879	343.103847253277
18x40	513.7682162220624	324.57877318148815
18x42	523.1504659273468	318.500251177295
18x44	548.5154510130048	334.07124988541
18x46	608.6424976946648	388.69511188076456
18x48	678.7360974635134	449.2029496786502
19x29	629.5065130719458	145.5590945286481
19x31	688.8549411886365	85.89604181800213
19x33	674.7929534309021	154.49119716022668
19x35	595.1670773824774	238.4480027175736
19x37	518.320875520174	265.3294744275501
19x39	465.08649733141027	284.58645435087016
19x41	459.79609611217865	266.67667689544936
19x43	473.6495962206661	260.2282459688034
19x45	520.9433078560468	306.25108979397925
19x47	589.8823781060087	361.5090870227193
